DAY,DISTINCT_CONTRACT_SOURCES,DAILY_QUERIES
2021-05-06T00:00:00Z,11,237
2021-05-07T00:00:00Z,16,625
2021-05-08T00:00:00Z,15,337
2021-05-09T00:00:00Z,15,338
2021-05-10T00:00:00Z,13,233
2021-05-11T00:00:00Z,11,164
2021-05-12T00:00:00Z,15,205
2021-05-13T00:00:00Z,19,401
2021-05-14T00:00:00Z,22,384
2021-05-15T00:00:00Z,21,401
2021-05-16T00:00:00Z,22,653
2021-05-17T00:00:00Z,23,559
2021-05-18T00:00:00Z,19,497
2021-05-19T00:00:00Z,25,799
2021-05-20T00:00:00Z,20,906
2021-05-21T00:00:00Z,25,876
2021-05-22T00:00:00Z,28,911
2021-05-23T00:00:00Z,21,982
2021-05-24T00:00:00Z,26,802
2021-05-25T00:00:00Z,20,810
2021-05-26T00:00:00Z,22,724
2021-05-27T00:00:00Z,20,807
2021-05-28T00:00:00Z,18,695
2021-05-29T00:00:00Z,20,907
2021-05-30T00:00:00Z,21,1424
2021-05-31T00:00:00Z,18,798
2021-06-01T00:00:00Z,20,928
2021-06-02T00:00:00Z,25,748
2021-06-03T00:00:00Z,20,712
2021-06-04T00:00:00Z,22,863
2021-06-05T00:00:00Z,20,1155
2021-06-06T00:00:00Z,23,1515
2021-06-07T00:00:00Z,19,1405
2021-06-08T00:00:00Z,26,1386
2021-06-09T00:00:00Z,23,1573
2021-06-10T00:00:00Z,22,1889
2021-06-11T00:00:00Z,21,1344
2021-06-12T00:00:00Z,22,1446
2021-06-13T00:00:00Z,23,1855
2021-06-14T00:00:00Z,19,1478
2021-06-15T00:00:00Z,27,1705
2021-06-16T00:00:00Z,25,1929
2021-06-17T00:00:00Z,24,2152
2021-06-18T00:00:00Z,31,1749
2021-06-19T00:00:00Z,26,1443
2021-06-20T00:00:00Z,22,1418
2021-06-21T00:00:00Z,25,1020
2021-06-22T00:00:00Z,24,936
2021-06-23T00:00:00Z,22,1231
2021-06-24T00:00:00Z,22,1313
2021-06-25T00:00:00Z,24,1048
2021-06-26T00:00:00Z,26,1633
2021-06-27T00:00:00Z,20,1190
2021-06-28T00:00:00Z,20,1089
2021-06-29T00:00:00Z,25,1067
2021-06-30T00:00:00Z,21,1163
2021-07-01T00:00:00Z,22,1221
2021-07-02T00:00:00Z,28,1174
2021-07-03T00:00:00Z,22,1274
2021-07-04T00:00:00Z,22,1227
2021-07-05T00:00:00Z,25,1252
2021-07-06T00:00:00Z,25,720
2021-07-07T00:00:00Z,25,804
2021-07-08T00:00:00Z,25,772
2021-07-09T00:00:00Z,25,1735
2021-07-10T00:00:00Z,24,1443
2021-07-11T00:00:00Z,23,1259
2021-07-12T00:00:00Z,26,929
2021-07-13T00:00:00Z,23,980
2021-07-14T00:00:00Z,27,1655
2021-07-15T00:00:00Z,20,987
2021-07-16T00:00:00Z,23,1115
2021-07-17T00:00:00Z,24,738
2021-07-18T00:00:00Z,18,1019
2021-07-19T00:00:00Z,23,1226
2021-07-20T00:00:00Z,25,931
2021-07-21T00:00:00Z,22,1464
2021-07-22T00:00:00Z,22,1225
2021-07-23T00:00:00Z,28,1036
2021-07-24T00:00:00Z,23,1091
2021-07-25T00:00:00Z,27,1056
2021-07-26T00:00:00Z,26,732
2021-07-27T00:00:00Z,24,902
2021-07-28T00:00:00Z,21,981
2021-07-29T00:00:00Z,26,939
2021-07-30T00:00:00Z,25,778
2021-07-31T00:00:00Z,21,926
2021-08-01T00:00:00Z,24,1100
2021-08-02T00:00:00Z,24,1372
2021-08-03T00:00:00Z,26,1063
2021-08-04T00:00:00Z,27,956
2021-08-05T00:00:00Z,22,898
2021-08-06T00:00:00Z,22,1072
2021-08-07T00:00:00Z,25,1011
2021-08-08T00:00:00Z,26,1166
2021-08-09T00:00:00Z,28,1007
2021-08-10T00:00:00Z,22,953
2021-08-11T00:00:00Z,27,929
2021-08-12T00:00:00Z,23,1048
2021-08-13T00:00:00Z,27,1120
2021-08-14T00:00:00Z,22,986
2021-08-15T00:00:00Z,24,1107
2021-08-16T00:00:00Z,26,883
2021-08-17T00:00:00Z,22,828
2021-08-18T00:00:00Z,28,1236
2021-08-19T00:00:00Z,29,1766
2021-08-20T00:00:00Z,31,1435
2021-08-21T00:00:00Z,25,1346
2021-08-22T00:00:00Z,21,1500
2021-08-23T00:00:00Z,20,1209
2021-08-24T00:00:00Z,19,1590
2021-08-25T00:00:00Z,24,3220
2021-08-26T00:00:00Z,21,2325
2021-08-27T00:00:00Z,25,1598
2021-08-28T00:00:00Z,24,1871
2021-08-29T00:00:00Z,21,1588
2021-08-30T00:00:00Z,22,1383
2021-08-31T00:00:00Z,21,1328
2021-09-01T00:00:00Z,24,1054
2021-09-02T00:00:00Z,24,1570
2021-09-03T00:00:00Z,24,2030
2021-09-04T00:00:00Z,27,1748
2021-09-05T00:00:00Z,26,1923
2021-09-06T00:00:00Z,27,1326
2021-09-07T00:00:00Z,27,1136
2021-09-08T00:00:00Z,25,999
2021-09-09T00:00:00Z,24,1015
2021-09-10T00:00:00Z,32,1313
2021-09-11T00:00:00Z,28,1652
2021-09-12T00:00:00Z,27,1518
2021-09-13T00:00:00Z,28,1365
2021-09-14T00:00:00Z,24,1656
2021-09-15T00:00:00Z,23,1343
2021-09-16T00:00:00Z,29,1181
2021-09-17T00:00:00Z,27,1310
2021-09-18T00:00:00Z,27,1568
2021-09-19T00:00:00Z,27,1634
2021-09-20T00:00:00Z,27,1177
2021-09-21T00:00:00Z,30,1087
2021-09-22T00:00:00Z,27,1746
2021-09-23T00:00:00Z,24,1401
2021-09-24T00:00:00Z,27,1524
2021-09-25T00:00:00Z,26,2550
2021-09-26T00:00:00Z,23,1623
2021-09-27T00:00:00Z,23,1373
2021-09-28T00:00:00Z,26,1255
2021-09-29T00:00:00Z,27,1346
2021-09-30T00:00:00Z,25,1028
2021-10-01T00:00:00Z,24,1210
2021-10-02T00:00:00Z,25,1369
2021-10-03T00:00:00Z,27,1396
2021-10-04T00:00:00Z,26,908
2021-10-05T00:00:00Z,25,942
2021-10-06T00:00:00Z,25,757
2021-10-07T00:00:00Z,26,764
2021-10-08T00:00:00Z,28,975
2021-10-09T00:00:00Z,29,1696
2021-10-10T00:00:00Z,30,1631
2021-10-11T00:00:00Z,25,1222
2021-10-12T00:00:00Z,31,1746
2021-10-13T00:00:00Z,27,1491
2021-10-14T00:00:00Z,30,1174
2021-10-15T00:00:00Z,32,1067
2021-10-16T00:00:00Z,29,1478
2021-10-17T00:00:00Z,34,1544
2021-10-18T00:00:00Z,27,1474
2021-10-19T00:00:00Z,30,1582
2021-10-20T00:00:00Z,25,1371
2021-10-21T00:00:00Z,29,1165
2021-10-22T00:00:00Z,27,1046
2021-10-23T00:00:00Z,33,1412
2021-10-24T00:00:00Z,33,968
2021-10-25T00:00:00Z,25,1158
2021-10-26T00:00:00Z,28,844
2021-10-27T00:00:00Z,29,517
2021-10-28T00:00:00Z,30,723
2021-10-29T00:00:00Z,29,797
2021-10-30T00:00:00Z,26,671
2021-10-31T00:00:00Z,24,580
2021-11-01T00:00:00Z,25,694
2021-11-02T00:00:00Z,28,1611
2021-11-03T00:00:00Z,24,1776
2021-11-04T00:00:00Z,24,1332
2021-11-05T00:00:00Z,25,1251
2021-11-06T00:00:00Z,28,1630
2021-11-07T00:00:00Z,29,1707
2021-11-08T00:00:00Z,31,2689
2021-11-09T00:00:00Z,23,7662
2021-11-10T00:00:00Z,27,7619
2021-11-11T00:00:00Z,30,6065
2021-11-12T00:00:00Z,30,4452
2021-11-13T00:00:00Z,22,4665
2021-11-14T00:00:00Z,28,5018
2021-11-15T00:00:00Z,27,3941
2021-11-16T00:00:00Z,30,3444
