DAY,DISTINCT_CONTRACT_SOURCES,DAILY_QUERIES
2021-05-06T00:00:00Z,1,1
2021-05-08T00:00:00Z,1,1
2021-06-09T00:00:00Z,1,17
2021-06-10T00:00:00Z,1,24
2021-06-11T00:00:00Z,1,23
2021-06-12T00:00:00Z,1,6
2021-06-13T00:00:00Z,1,4
2021-06-21T00:00:00Z,1,3
2021-06-22T00:00:00Z,1,2
2021-06-25T00:00:00Z,1,1
2021-06-28T00:00:00Z,1,7
2021-06-29T00:00:00Z,1,7
2021-06-30T00:00:00Z,1,2
2021-07-07T00:00:00Z,1,1
2021-07-08T00:00:00Z,1,1
2021-07-09T00:00:00Z,1,1
2021-07-11T00:00:00Z,1,2
2021-07-12T00:00:00Z,1,1
2021-07-13T00:00:00Z,1,2
2021-07-14T00:00:00Z,1,3
2021-07-15T00:00:00Z,1,1
2021-07-16T00:00:00Z,1,2
2021-07-17T00:00:00Z,1,2
2021-07-18T00:00:00Z,1,3
2021-07-19T00:00:00Z,1,1
2021-07-20T00:00:00Z,1,3
2021-07-21T00:00:00Z,1,1
2021-07-22T00:00:00Z,1,2
2021-07-23T00:00:00Z,1,2
2021-07-24T00:00:00Z,1,2
2021-07-25T00:00:00Z,1,2
2021-07-26T00:00:00Z,1,3
2021-07-27T00:00:00Z,1,1
2021-07-28T00:00:00Z,2,5
2021-07-29T00:00:00Z,2,9
2021-07-30T00:00:00Z,1,2
2021-07-31T00:00:00Z,2,3
2021-08-01T00:00:00Z,2,3
2021-08-02T00:00:00Z,3,25
2021-08-03T00:00:00Z,3,9
2021-08-04T00:00:00Z,2,2
2021-08-05T00:00:00Z,1,3
2021-08-06T00:00:00Z,3,3
2021-08-07T00:00:00Z,3,6
2021-08-08T00:00:00Z,2,4
2021-08-09T00:00:00Z,3,5
2021-08-10T00:00:00Z,2,2
2021-08-11T00:00:00Z,1,1
2021-08-12T00:00:00Z,2,4
2021-08-13T00:00:00Z,2,3
2021-08-15T00:00:00Z,2,2
